Energy Intensity Error
-19.93 0.00011979 4.7886e-05
-19.872 0.00016495 5.8486e-05
-19.814 0.00013473 5.1464e-05
-19.756 0.00014905 5.4723e-05
-19.698 0.00030163 8.7838e-05
-19.64 0.00010651 4.4893e-05
-19.582 0.00015088 5.5398e-05
-19.524 0.00018051 6.2044e-05
-19.466 0.00010633 4.4819e-05
-19.408 9.1608e-05 4.1119e-05
-19.35 0.00012214 4.8826e-05
-19.292 0.00019669 6.5743e-05
-19.234 0.00012198 4.8762e-05
-19.176 0.00013803 5.2724e-05
-19.118 0.00013738 5.2477e-05
-19.06 0.00010704 4.5119e-05
-19.002 0.00012319 4.9244e-05
-18.944 9.2988e-05 4.1738e-05
-18.886 6.1549e-05 3.2847e-05
-18.828 0.00015409 5.6575e-05
-18.77 0.00015453 5.6735e-05
-18.712 0.00015623 5.736e-05
-18.654 0.0001698 6.0203e-05
-18.596 0.00015562 5.7136e-05
-18.538 0.00020364 6.8067e-05
-18.48 0.00018754 6.4459e-05
-18.422 0.00015587 5.7228e-05
-18.364 0.00014037 5.3619e-05
-18.306 0.00014204 5.4259e-05
-18.248 0.00017307 6.1365e-05
-18.19 0.00012638 5.0521e-05
-18.132 7.802e-05 3.7806e-05
-18.074 0.00012594 5.0343e-05
-18.016 0.0002058 6.879e-05
-17.958 0.00011096 4.6771e-05
-17.9 7.8933e-05 3.8248e-05
-17.841 0.00020872 6.9765e-05
-17.783 0.00019214 6.6042e-05
-17.725 0.00014337 5.4766e-05
-17.667 0.00011133 4.6927e-05
-17.609 0.00012954 5.1782e-05
-17.551 0.00011263 4.7472e-05
-17.493 0.00022594 7.3641e-05
-17.435 0.00011168 4.7074e-05
-17.377 9.688e-05 4.3485e-05
-17.319 0.00017769 6.3001e-05
-17.261 0.00014613 5.5821e-05
-17.203 0.0001128 4.7546e-05
-17.145 9.6853e-05 4.3473e-05
-17.087 4.8639e-05 2.9511e-05
-17.029 0.00019566 6.7252e-05
-16.971 9.7133e-05 4.3598e-05
-16.913 8.1375e-05 3.9432e-05
-16.855 0.00017807 6.3137e-05
-16.797 0.0001143 4.8175e-05
-16.739 0.00011408 4.8086e-05
-16.681 6.5066e-05 3.4724e-05
-16.623 9.8628e-05 4.427e-05
-16.565 6.5404e-05 3.4904e-05
-16.507 0.00016228 5.9584e-05
-16.449 0.00011471 4.8349e-05
-16.391 0.00024544 7.8182e-05
-16.333 6.5151e-05 3.4769e-05
-16.275 0.00022981 7.4904e-05
-16.217 0.00011516 4.854e-05
-16.159 9.8746e-05 4.4323e-05
-16.101 8.2438e-05 3.9947e-05
-16.043 0.00016439 6.0355e-05
-15.985 0.00022916 7.4691e-05
-15.927 0.00023162 7.5492e-05
-15.869 0.00019788 6.8014e-05
-15.811 8.2737e-05 4.0092e-05
-15.753 0.00018254 6.4721e-05
-15.695 0.0001161 4.8936e-05
-15.637 0.0001328 5.3085e-05
-15.579 0.00021449 7.1694e-05
-15.521 0.00019972 6.8647e-05
-15.463 0.00011668 4.918e-05
-15.405 8.3823e-05 4.0618e-05
-15.347 0.0001664 6.1093e-05
-15.289 0.00013452 5.3776e-05
-15.231 0.00010128 4.546e-05
-15.173 0.00013469 5.3844e-05
-15.114 0.00011667 4.9178e-05
-15.056 0.00015148 5.7863e-05
-14.998 6.7268e-05 3.5899e-05
-14.94 6.7673e-05 3.6115e-05
-14.882 0.00016838 6.1821e-05
-14.824 0.0001353 5.4085e-05
-14.766 0.00013545 5.4146e-05
-14.708 0.00013591 5.4329e-05
-14.65 0.00013377 5.3476e-05
-14.592 0.00017001 6.242e-05
-14.534 0.00017064 6.2652e-05
-14.476 0.00018709 6.6334e-05
-14.418 0.0001708 6.2709e-05
-14.36 0.00015268 5.8324e-05
-14.302 0.00020495 7.0443e-05
-14.244 0.00010229 4.5913e-05
-14.186 0.00011935 5.0304e-05
-14.128 0.00017039 6.2559e-05
-14.07 0.00015381 5.8752e-05
-14.012 0.00020279 6.9699e-05
-13.954 0.00011882 5.0084e-05
-13.896 0.00013633 5.4498e-05
-13.838 0.00015427 5.893e-05
-13.78 0.00011984 5.0514e-05
-13.722 6.8033e-05 3.6307e-05
-13.664 0.0001195 5.0369e-05
-13.606 6.9052e-05 3.6851e-05
-13.548 8.5557e-05 4.1458e-05
-13.49 8.5785e-05 4.1568e-05
-13.432 0.00013806 5.519e-05
-13.374 8.6093e-05 4.1718e-05
-13.316 6.8753e-05 3.6691e-05
-13.258 8.6245e-05 4.1792e-05
-13.2 0.00013818 5.5236e-05
-13.142 8.66e-05 4.1963e-05
-13.084 8.6764e-05 4.2043e-05
-13.026 0.00010345 4.6435e-05
-12.968 8.7297e-05 4.2301e-05
-12.91 0.00012214 5.1483e-05
-12.852 0.0001043 4.6817e-05
-12.794 0.00017222 6.3233e-05
-12.736 0.00013828 5.5277e-05
-12.678 8.6735e-05 4.2029e-05
-12.62 0.00017452 6.4076e-05
-12.562 0.00012091 5.0964e-05
-12.504 8.6775e-05 4.2048e-05
-12.446 0.00012334 5.1988e-05
-12.388 0.00013819 5.5242e-05
-12.329 0.00020844 7.1642e-05
-12.271 8.7089e-05 4.22e-05
-12.213 0.00010477 4.7028e-05
-12.155 0.00013947 5.5755e-05
-12.097 5.2323e-05 3.1747e-05
-12.039 0.00014026 5.6068e-05
-11.981 0.00010539 4.7305e-05
-11.923 8.7657e-05 4.2475e-05
-11.865 0.00013938 5.5717e-05
-11.807 0.00010576 4.7472e-05
-11.749 0.00012349 5.2052e-05
-11.691 0.00012262 5.1682e-05
-11.633 0.00012188 5.1374e-05
-11.575 0.00012302 5.1853e-05
-11.517 0.00017635 6.4749e-05
-11.459 6.9937e-05 3.7323e-05
-11.401 0.00021251 7.3041e-05
-11.343 0.00012317 5.1918e-05
-11.285 8.8302e-05 4.2788e-05
-11.227 0.00015802 6.0363e-05
-11.169 0.00012233 5.156e-05
-11.111 0.00012305 5.1866e-05
-11.053 0.00024814 8.0876e-05
-10.995 0.00017616 6.4678e-05
-10.937 0.00012233 5.156e-05
